upperdistrict,name,population2015,population2014,population2013,population2012,population2011,crimebook2015,crimebook2014,crimebook2013,crimebook2012,crimebook2011,crimes2015,crimes2014,crimes2013,crimes2012,crimes2011,economiccrimes2015,economiccrimes2014,economiccrimes2013,economiccrimes2012,economiccrimes2011,gravecrimes2015,gravecrimes2014,gravecrimes2013,gravecrimes2012,gravecrimes2011,murders2015,murders2014,murders2013,murders2012,murders2011,healthdamage2015,healthdamage2014,healthdamage2013,healthdamage2012,healthdamage2011,robbing2015,robbing2014,robbing2013,robbing2012,robbing2011,banditry2015,banditry2014,banditry2013,banditry2012,banditry2011,thefts2015,thefts2014,thefts2013,thefts2012,thefts2011,burglary2015,burglary2014,burglary2013,burglary2012,burglary2011,carthefts2015,carthefts2014,carthefts2013,carthefts2012,carthefts2011,fraud2015,fraud2014,fraud2013,fraud2012,fraud2011,hijacking2015,hijacking2014,hijacking2013,hijacking2012,hijacking2011,drugs2015,drugs2014,drugs2013,drugs2012,drugs2011,publicplaces2015,publicplaces2014,publicplaces2013,publicplaces2012,publicplaces2011,street2015,street2014,street2013,street2012,street2011,sources
Москва,ЦАО,768 280,760 690,757 137,752 310,748 032,,,293445,,,19957,18010,16789,17000,15955,,,,,,6040,5280,5210,5080,,29,38,44,,,77,84,92,,,911,888,1029,1218,,227,223,252,270,,9432,8329,7561,8423,,245,326,429,436,481,306,434,628,,,2963,3083,,,,33,43,,,,1629,1405,964,573,,12745,9798,8827,10128,,5927,5575,5546,6600,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/CentralAO
Москва,САО,1 158 528,1 151 160,1 141 913,1 130 391,1 119 403,,289201,,,,19831,19032,19575,19972,19873,,,,,,4517,4953,4586,5133,,31,33,37,39,,114,93,117,121,137,881,903,963,1166,,164,180,179,214,220,,10009,9992,11578,,461,448,561,665,722,821,855,988,1096,1103,2631,3289,2413,2332,1911,116,157,183,258,336,,2212,,,,,9595,8629,,,,6477,6839,5850,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthernAO
Москва,СВАО,1 413 739,1 402 928,1 398 481,1 387 201,1 373 547,383332,340144,288264,271868,254301,18868,18127,17848,19516,16668,537,365,718,991,816,4923,5422,4816,5014,4479,38,36,53,53,,88,116,123,142,,986,1024,1109,1370,,187,177,205,260,,10550,9479,9732,11388,,558,594,626,720,,868,1013,1205,1357,,1931,1720,1459,1417,,137,162,137,,,1943,2557,1695,1277,,12438,11962,10789,13369,10673,7535,7931,8175,10296,8284,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO
Москва,ВАО,1 505 801,1 495 835,1 489 765,1 477 611,1 467 582,,,335000,309709,301382,22529,22602,21926,21726,22741,,744,1113,846,1051,5762,6467,7169,6116,6409,,55,60,57,96,,138,153,168,,,1150,1562,1887,2086,,255,316,407,468,,11825,10969,12827,,624,700,787,1084,1362,810,1159,1128,1497,,2555,2833,2324,1930,1991,,166,191,270,335,2748,3000,2486,1675,,,14738,10475,13167,13386,9469,11140,8569,9455,8472,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO
Москва,ЮВАО,1 380 668,1 363 859,1 352 303,1 338 695,1 328 648,406209,349879,309032,282779,274086,23868,20927,19493,20136,20208,,319,,,,6345,6181,5872,5672,5518,33,29,45,,,,,,210,187,1294,1201,1537,1826,1736,284,261,293,361,345,15174,12237,,,,478,533,587,766,845,906,1002,1024,1226,1307,,,,,,,920,958,,,,,,,,17101,12428,11018,14072,13351,9007,8410,7923,9758,8783,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO
Москва,ЮАО,1 774 351,1 760 813,1 754 613,1 739 361,1 729 743,402934,375983,329291,303048,293651,27317,24327,24102,26687,24802,,,,1135,1261,7486,6763,6866,7843,6286,35,49,41,51,59,154,188,167,244,217,1226,1179,1574,1889,1834,312,369,475,599,587,14572,13320,12910,14824,13200,680,748,847,1067,1178,1057,1110,1415,1522,1680,,,,,,187,187,214,283,248,,,2275,2447,2225,,,,18109,15386,10059,10667,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO
Москва,ЮЗАО,1 426 227,1 414 510,1 407 331,1 394 725,1 374 168,300923,292442,,,,18053,18355,16667,18280,17755,,605,,999,902,4862,5414,5077,5435,4763,,35,47,36,50,,,99,123,,652,772,952,1191,,160,189,259,312,240,,9234,8890,10673,9692,471,541,610,758,838,924,940,1176,1352,1297,2066,2380,,1458,1265,,88,117,135,202,1595,2046,,,,,,9430,11665,11093,,,7429,9594,7815,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO
Москва,ЗАО,1 362 701,1 344 044,1 333 813,1 316 914,1 298 324,,268000,,219176,,18449,15946,14712,15968,15503,575,688,750,665,,5173,4853,4838,4520,4213,42,33,38,54,48,99,73,109,118,,900,857,752,1053,,148,146,175,188,182,10052,8458,7680,9117,,422,566,514,606,829,954,1051,,1227,1355,2108,1763,"1618,32",1461,963,,,,,,1916,1152,1280,765,,12039,9618,8033,9378,7640,7209,6602,6056,7243,6196,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO
Москва,СЗАО,988 423,979 614,973 629,959 548,949 912,,221312,,,,14018,13667,12994,12709,12550,,,,681,784,4382,3976,3834,3705,3628,,14,21,31,27,56,78,90,94,100,574,580,848,918,834,,109,190,174,195,7007,6323,6907,7294,6715,356,343,417,480,517,550,691,637,877,980,1371,"1230,70018",,913,962,91,106,130,135,168,1154,1273,816,1098,853,,,,7869,7469,,,,5024,4737,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthWesternAO
Москва,ЗелАО,237 897,232 489,229 926,226 477,223 584,,,,47945,46255,3453,3276,3110,2740,2779,,,,,,802,784,747,826,594,5,12,2,6,13,26,29,37,21,36,89,89,114,117,128,16,24,36,,,1508,1435,1325,1308,1313,27,52,69,84,57,45,85,99,102,58,,473,383,283,213,,,,35,38,500,426,290,209,,1665,1475,1296,1367,1191,872,988,,,879,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/ZelenogradskyAO
Москва,ТИНАО,313 511,291 654,269 346,256 296,,,,,,,6577,5786,4360,,,344,216,,,,2185,2109,1715,,,"19,995",31,,,,56,77,,,,306,391,,,,74,73,,,,3577,3016,2182,,,508,503,,,,341,464,302,,,456,278,,,,91,79,,,,525,579,,,,3363,2949,2183,,,1963,2080,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/TroitskyNovomoskovskyAO
