upperdistrict,name,population2015,population2014,population2013,population2012,population2011,crimebook2015,crimebook2014,crimebook2013,crimebook2012,crimebook2011,crimes2015,crimes2014,crimes2013,crimes2012,crimes2011,economiccrimes2015,economiccrimes2014,economiccrimes2013,economiccrimes2012,economiccrimes2011,gravecrimes2015,gravecrimes2014,gravecrimes2013,gravecrimes2012,gravecrimes2011,murders2015,murders2014,murders2013,murders2012,murders2011,healthdamage2015,healthdamage2014,healthdamage2013,healthdamage2012,healthdamage2011,robbing2015,robbing2014,robbing2013,robbing2012,robbing2011,banditry2015,banditry2014,banditry2013,banditry2012,banditry2011,thefts2015,thefts2014,thefts2013,thefts2012,thefts2011,burglary2015,burglary2014,burglary2013,burglary2012,burglary2011,carthefts2015,carthefts2014,carthefts2013,carthefts2012,carthefts2011,fraud2015,fraud2014,fraud2013,fraud2012,fraud2011,hijacking2015,hijacking2014,hijacking2013,hijacking2012,hijacking2011,drugs2015,drugs2014,drugs2013,drugs2012,drugs2011,publicplaces2015,publicplaces2014,publicplaces2013,publicplaces2012,publicplaces2011,street2015,street2014,street2013,street2012,street2011,sources
ЦАО,Арбат,34 012,31 286,30 076,29 108,28 536,,,12735,,,,986,718,868,816,,,,,110,,,191,195,,,,2,0,,,6,8,,,,49,32,71,,8,10,12,,,,413,296,461,,7,12,12,10,,7,9,18,15,,,,,,,,,1,1,,96,90,,,19,,453,336,580,,,226,198,326,,"https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/CentralAO/Arbat, http://www.arbatnews.ru/node/28"
ЦАО,Басманный,110 042,109 648,109 514,109 215,109 086,48201,36663,34510,30626,,1730,1511,1328,1221,944,,,,,,539,528,511,507,,5,8,,3,,19,8,,,,103,70,71,101,,27,26,18,27,,733,533,,,,,,32,43,,58,40,72,83,,262,306,,,,5,5,7,3,,141,116,140,59,,1152,667,606,710,,562,366,391,458,,"https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/CentralAO/Basmanny, http://www.basmanvmo.ru/documents/%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F%20%D0%91%D0%9C%D0%9F-%D0%A1.pdf"
ЦАО,Замоскворечье,57 722,57 012,56 937,56 483,56 098,31785,25935,22425,,,1770,1472,979,1752,,186,159,,,,501,,367,633,,0,1,4,5,,4,7,7,8,,125,,72,73,,,,18,19,,753,603,302,520,,17,19,24,35,,14,23,36,59,,,,162,312,,5,,3,9,,241,,102,61,,1177,792,445,679,,622,508,315,442,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/CentralAO/Zamoskvorechye
ЦАО,Красносельский,48 324,48 104,48 086,47 964,47 839,31295,25914,21796,,,1957,1509,1087,,,,,,,,,530,391,468,,1,7,,,,,,,,,149,106,100,,,34,26,34,,,939,716,491,,,5,15,14,20,,15,23,34,37,,281,159,,,,,3,4,5,,118,120,65,,,1433,702,547,,,709,404,317,,,"https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/CentralAO/Krasnoselsky, http://vmo-krasnoselskoe.ru/ms/meeting24032015.php"
ЦАО,Мещанский,60 014,59 337,59 276,58 936,58 514,,28000,,22000,,2193,1773,1872,1901,,,,,,,,,388,432,,,,,,,,,,,,,83,105,,,,14,25,,,1117,849,444,,,15,22,30,44,,,,59,71,,,203,453,,,,,5,6,,,,,,,,,,,,,,,,,"https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/CentralAO/Meshchansky, http://meschanka.mos.ru/safety-and-security/the-prosecutor-s-office/detail/2505338.html"
ЦАО,Пресненский,126 107,125 899,125 764,124 947,124 015,,,,,,,3166,2925,2818,,,,,,,,819,932,825,,,,8,10,,,,,4,,135,,183,189,,36,,43,62,,1731,,1504,1643,,71,,119,114,,59,,141,142,,,159,,,,,,13,32,,208,,123,94,,,,,,,,,,,,"https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/CentralAO/Presnensky, kvartirolog.ru"
ЦАО,Таганский,119 862,119 094,117 932,117 543,117 228,,,34707,22757,,2010,1806,2295,1875,1701,,,,,,855,724,799,626,595,,,10,7,12,,,14,10,10,,94,166,122,147,38,29,52,35,29,,974,1049,810,764,23,34,83,58,48,59,78,112,129,,,,341,283,268,6,,5,4,,,,166,133,82,,,,,,,,,,778,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/CentralAO/Tagansky
ЦАО,Тверской,77 123,76 881,76 798,76 348,76 064,60744,,42092,,,2121,2286,2298,1737,1766,,,,212,294,,634,963,651,641,1,4,1,7,5,,13,15,18,13,,32,110,134,102,,21,26,26,22,,1094,864,767,733,,32,42,36,41,,39,41,60,52,,610,660,446,,,,7,3,,220,132,128,58,42,1230,1192,1043,986,940,493,641,589,481,537,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/CentralAO/Tverskoy
ЦАО,Хамовники,107 676,106 260,105 644,104 859,103 861,30131,,22467,19059,,1757,2064,1815,1897,1864,,223,,,,,543,434,526,503,1,,4,9,,,,,6,16,57,50,100,115,118,23,26,15,11,16,861,942,924,980,955,46,56,65,60,58,25,54,57,71,93,,,,,,6,,8,5,,119,104,,59,51,973,928,880,984,1048,442,595,707,772,853,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/CentralAO/Khamovniki
ЦАО,Якиманка,27 398,27 169,27 110,26 907,26 791,,14438,13017,,,921,734,794,800,852,,93,,,,,199,192,168,,,2,1,1,,,3,2,6,,,19,38,68,,,11,8,10,,,322,313,442,,,2,8,16,,,9,20,23,,,101,137,,,,1,0,,,,84,,24,,605,426,407,233,,338,261,266,163,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/CentralAO/Yakimanka
